Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Donegal,White,Miichael,M,Green Party/ Comhaontas Glas,G.P.,9,0,889,1656,Excluded,175,9,Dún na nGall
Dublin Bay North,Bruton,Richard,M,Fine Gael,F.G.,14,0,0,11156,Elected,161,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Burke,Michael Paul,M,Non-Party,NON-P.,14,0,2205,370,Excluded,162,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Creaven,Conor,M,Non-Party,NON-P.,14,0,2497,418,Excluded,163,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Garrigan,Brian,M,Non-Party,NON-P.,14,0,2396,372,Excluded,164,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Gilroy,Ben,M,Irish Freedom Party,I.F.P.,14,0,1225,771,Excluded,165,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Haughey,Seán,M,Fianna Fáil,F.F.,14,980,0,6651,Elected,166,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Healy,David,M,Green Party/ Comhaontas Glas,G.P.,14,3408,0,5042,,167,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Heney,Deirdre,F,Fianna Fáil,F.F.,14,0,0,3643,Excluded,168,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Lyons,John,M,Non-Party,NON-P.,14,0,0,1882,Excluded,169,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,McEvoy,Linda,F,Non-Party,NON-P.,14,0,2658,202,Excluded,170,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Mitchell,Denise,F,Sinn Féin,S.F.,14,0,0,21344,Elected,171,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Mulvany,Bernard,M,Solidarity - People Before Profit,S.P.B.P.,14,0,0,1409,Excluded,172,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Noone,Catherine,F,Fine Gael,F.G.,14,0,572,2279,Excluded,173,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,O'Brien,Michael,M,Solidarity - People Before Profit,S.P.B.P.,14,0,821,722,Excluded,174,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,O'Callaghan,Cian,M,Social Democrats,S.D.,14,0,0,6229,Elected,175,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Ó Conaráin,Proinsias,M,Aontú,A.,14,0,1810,973,Excluded,176,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,O'Leary,Sean,M,Non-Party,NON-P.,14,0,2949,16,Excluded,177,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay North,Ó'Ríordáin,Aodhán,M,The Labour Party,LAB.,14,652,0,8127,Elected,178,13,Cuan Bhaile Átha Cliath Thuaidh
Dublin Bay South,Andrews,Chris,M,Sinn Féin,S.F.,8,0,0,6361,Elected,161,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Burke,Norma,F,Non-Party,NON-P.,8,0,1864,110,Excluded,162,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Dooley,Peter,M,Non-Party,NON-P.,8,0,1663,281,Excluded,163,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Durcan,Sarah,F,Social Democrats,S.D.,8,0,0,1801,Excluded,164,17,Cuan Bhaile Átha Cliath Theas
