Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Cavan-Monaghan,Donnelly,Tate,,8,0,0,7844,0,112,2501,4187,2,187
Cavan-Monaghan,Donnelly,Tate,Excluded,9,0,9,0,0,-4187,2501,0,2,187
Cavan-Monaghan,Donnelly,Tate,Excluded,10,0,9,0,0,0,2501,0,2,187
Cavan-Monaghan,Donnelly,Tate,Excluded,11,0,9,0,0,0,2501,0,2,187
Cavan-Monaghan,Duffy,Joseph,,1,0,0,11872,2849,0,159,159,2,188
Cavan-Monaghan,Duffy,Joseph,,2,0,0,11860,2837,12,159,171,2,188
Cavan-Monaghan,Duffy,Joseph,,3,0,0,11796,2773,64,159,235,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,4,0,4,0,2773,-235,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,5,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,6,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,7,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,8,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,9,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,10,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Duffy,Joseph,Excluded,11,0,4,0,2773,0,159,0,2,188
Cavan-Monaghan,Gallagher,Robbie,,1,0,0,6969,0,0,5062,5062,2,189
Cavan-Monaghan,Gallagher,Robbie,,2,0,0,6725,0,244,5062,5306,2,189
Cavan-Monaghan,Gallagher,Robbie,,3,0,0,6564,0,161,5062,5467,2,189
Cavan-Monaghan,Gallagher,Robbie,,4,0,0,6555,0,9,5062,5476,2,189
Cavan-Monaghan,Gallagher,Robbie,,5,0,0,6428,0,127,5062,5603,2,189
Cavan-Monaghan,Gallagher,Robbie,,6,0,0,6381,0,47,5062,5650,2,189
Cavan-Monaghan,Gallagher,Robbie,,7,0,0,6339,0,42,5062,5692,2,189
Cavan-Monaghan,Gallagher,Robbie,,8,0,0,6291,0,48,5062,5740,2,189
Cavan-Monaghan,Gallagher,Robbie,,9,0,0,5778,0,513,5062,6253,2,189
Cavan-Monaghan,Gallagher,Robbie,,10,0,0,5149,0,629,5062,6882,2,189
Cavan-Monaghan,Gallagher,Robbie,Excluded,11,0,11,0,0,-6882,5062,0,2,189
Cavan-Monaghan,Humphreys,Heather,Elected,1,0,1,0,0,0,12808,12808,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,2,0,1,0,0,0,12808,12808,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,3,0,1,0,0,0,12808,12808,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,4,0,1,0,0,0,12808,12808,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,5,499,1,0,0,-777,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,6,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,7,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,8,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,9,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,10,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,Humphreys,Heather,Elected,11,499,1,0,0,0,12808,12031,2,190
Cavan-Monaghan,McIntyre,Sandra,,1,0,0,10730,1707,0,1301,1301,2,191
Cavan-Monaghan,McIntyre,Sandra,,2,0,0,10698,1675,32,1301,1333,2,191
Cavan-Monaghan,McIntyre,Sandra,,3,0,0,10674,1651,24,1301,1357,2,191
Cavan-Monaghan,McIntyre,Sandra,,4,0,0,10666,1643,8,1301,1365,2,191
Cavan-Monaghan,McIntyre,Sandra,,5,0,0,10410,1387,256,1301,1621,2,191
Cavan-Monaghan,McIntyre,Sandra,,6,0,0,10333,1310,77,1301,1698,2,191
Cavan-Monaghan,McIntyre,Sandra,,7,0,0,10312,1289,21,1301,1719,2,191
Cavan-Monaghan,McIntyre,Sandra,Excluded,8,0,8,0,1289,-1719,1301,0,2,191
Cavan-Monaghan,McIntyre,Sandra,Excluded,9,0,8,0,1289,0,1301,0,2,191
Cavan-Monaghan,McIntyre,Sandra,Excluded,10,0,8,0,1289,0,1301,0,2,191
Cavan-Monaghan,McIntyre,Sandra,Excluded,11,0,8,0,1289,0,1301,0,2,191
Cavan-Monaghan,O'Reilly,Sarah,,1,0,0,8191,0,0,3840,3840,2,193
Cavan-Monaghan,O'Reilly,T.P.,,1,0,0,6907,0,0,5124,5124,2,194
Cavan-Monaghan,O'Reilly,Sarah,,2,0,0,8068,0,123,3840,3963,2,193
Cavan-Monaghan,O'Reilly,T.P.,,2,0,0,6877,0,30,5124,5154,2,194
Cavan-Monaghan,O'Reilly,Sarah,,3,0,0,7827,0,241,3840,4204,2,193
Cavan-Monaghan,O'Reilly,T.P.,,3,0,0,6856,0,21,5124,5175,2,194
Cavan-Monaghan,O'Reilly,Sarah,,4,0,0,7746,0,81,3840,4285,2,193
